;FILENAME;URL;TYPE;FICHIER;MASQUE;LUMINOSITE;LUMINOSITE-CORR;CONTRASTE;CONTRASTE-CORR
3589;COVID-3590;https://bimcv.cipf.es/bimcv-projects/bimcv-covid19/#1590858128006-9e640421-6711;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-3590.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-3590.png;;;;
3593;COVID-3594;https://bimcv.cipf.es/bimcv-projects/bimcv-covid19/#1590858128006-9e640421-6711;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-3594.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-3594.png;;;;
3608;COVID-3609;https://bimcv.cipf.es/bimcv-projects/bimcv-covid19/#1590858128006-9e640421-6711;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-3609.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-3609.png;;;;
3620;Lung_Opacity-5;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Lung_Opacity;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Lung_Opacity\Lung_Opacity-5.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\Lung_Opacity-5.png;;;;
3638;Lung_Opacity-23;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Lung_Opacity;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Lung_Opacity\Lung_Opacity-23.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\Lung_Opacity-23.png;;;;
3699;Lung_Opacity-84;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Lung_Opacity;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Lung_Opacity\Lung_Opacity-84.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\Lung_Opacity-84.png;;;;
3735;Lung_Opacity-120;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Lung_Opacity;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Lung_Opacity\Lung_Opacity-120.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\Lung_Opacity-120.png;;;;
3771;Lung_Opacity-156;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Lung_Opacity;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Lung_Opacity\Lung_Opacity-156.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\Lung_Opacity-156.png;;;;
3798;Lung_Opacity-183;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Lung_Opacity;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Lung_Opacity\Lung_Opacity-183.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\Lung_Opacity-183.png;;;;
3816;Lung_Opacity-201;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Lung_Opacity;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Lung_Opacity\Lung_Opacity-201.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\Lung_Opacity-201.png;;;;
3840;Lung_Opacity-225;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Lung_Opacity;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Lung_Opacity\Lung_Opacity-225.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\Lung_Opacity-225.png;;;;
3851;Lung_Opacity-236;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Lung_Opacity;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Lung_Opacity\Lung_Opacity-236.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\Lung_Opacity-236.png;;;;
3905;Lung_Opacity-290;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Lung_Opacity;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Lung_Opacity\Lung_Opacity-290.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\Lung_Opacity-290.png;;;;
3962;Lung_Opacity-347;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Lung_Opacity;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Lung_Opacity\Lung_Opacity-347.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\Lung_Opacity-347.png;;;;
4018;Lung_Opacity-403;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Lung_Opacity;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Lung_Opacity\Lung_Opacity-403.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\Lung_Opacity-403.png;;;;
4026;Lung_Opacity-411;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Lung_Opacity;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Lung_Opacity\Lung_Opacity-411.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\Lung_Opacity-411.png;;;;
4079;Lung_Opacity-464;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Lung_Opacity;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Lung_Opacity\Lung_Opacity-464.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\Lung_Opacity-464.png;;;;
4082;Lung_Opacity-467;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Lung_Opacity;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Lung_Opacity\Lung_Opacity-467.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\Lung_Opacity-467.png;;;;
4174;Lung_Opacity-559;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Lung_Opacity;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Lung_Opacity\Lung_Opacity-559.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\Lung_Opacity-559.png;;;;
4205;Lung_Opacity-590;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Lung_Opacity;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Lung_Opacity\Lung_Opacity-590.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\Lung_Opacity-590.png;;;;
4240;Lung_Opacity-625;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Lung_Opacity;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Lung_Opacity\Lung_Opacity-625.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\Lung_Opacity-625.png;;;;
4270;Lung_Opacity-655;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Lung_Opacity;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Lung_Opacity\Lung_Opacity-655.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\Lung_Opacity-655.png;;;;
4349;Lung_Opacity-734;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Lung_Opacity;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Lung_Opacity\Lung_Opacity-734.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\Lung_Opacity-734.png;;;;
4445;Lung_Opacity-830;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Lung_Opacity;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Lung_Opacity\Lung_Opacity-830.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\Lung_Opacity-830.png;;;;
4448;Lung_Opacity-833;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Lung_Opacity;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Lung_Opacity\Lung_Opacity-833.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\Lung_Opacity-833.png;;;;
4483;Lung_Opacity-868;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Lung_Opacity;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Lung_Opacity\Lung_Opacity-868.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\Lung_Opacity-868.png;;;;
4488;Lung_Opacity-873;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Lung_Opacity;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Lung_Opacity\Lung_Opacity-873.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\Lung_Opacity-873.png;;;;
4491;Lung_Opacity-876;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Lung_Opacity;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Lung_Opacity\Lung_Opacity-876.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\Lung_Opacity-876.png;;;;
4503;Lung_Opacity-888;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Lung_Opacity;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Lung_Opacity\Lung_Opacity-888.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\Lung_Opacity-888.png;;;;
4536;Lung_Opacity-921;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Lung_Opacity;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Lung_Opacity\Lung_Opacity-921.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\Lung_Opacity-921.png;;;;
4538;Lung_Opacity-923;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Lung_Opacity;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Lung_Opacity\Lung_Opacity-923.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\Lung_Opacity-923.png;;;;
4556;Lung_Opacity-941;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Lung_Opacity;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Lung_Opacity\Lung_Opacity-941.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\Lung_Opacity-941.png;;;;
4570;Lung_Opacity-955;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Lung_Opacity;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Lung_Opacity\Lung_Opacity-955.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\Lung_Opacity-955.png;;;;
4612;Lung_Opacity-997;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Lung_Opacity;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Lung_Opacity\Lung_Opacity-997.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\Lung_Opacity-997.png;;;;
4615;Lung_Opacity-1000;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Lung_Opacity;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Lung_Opacity\Lung_Opacity-1000.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\Lung_Opacity-1000.png;;;;
4641;Lung_Opacity-1026;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Lung_Opacity;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Lung_Opacity\Lung_Opacity-1026.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\Lung_Opacity-1026.png;;;;
4646;Lung_Opacity-1031;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Lung_Opacity;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Lung_Opacity\Lung_Opacity-1031.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\Lung_Opacity-1031.png;;;;
4702;Lung_Opacity-1087;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Lung_Opacity;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Lung_Opacity\Lung_Opacity-1087.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\Lung_Opacity-1087.png;;;;
4703;Lung_Opacity-1088;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Lung_Opacity;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Lung_Opacity\Lung_Opacity-1088.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\Lung_Opacity-1088.png;;;;
4705;Lung_Opacity-1090;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Lung_Opacity;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Lung_Opacity\Lung_Opacity-1090.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\Lung_Opacity-1090.png;;;;
4721;Lung_Opacity-1106;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Lung_Opacity;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Lung_Opacity\Lung_Opacity-1106.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\Lung_Opacity-1106.png;;;;
4726;Lung_Opacity-1111;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Lung_Opacity;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Lung_Opacity\Lung_Opacity-1111.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\Lung_Opacity-1111.png;;;;
4751;Lung_Opacity-1136;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Lung_Opacity;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Lung_Opacity\Lung_Opacity-1136.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\Lung_Opacity-1136.png;;;;
4758;Lung_Opacity-1143;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Lung_Opacity;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Lung_Opacity\Lung_Opacity-1143.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\Lung_Opacity-1143.png;;;;
4793;Lung_Opacity-1178;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Lung_Opacity;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Lung_Opacity\Lung_Opacity-1178.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\Lung_Opacity-1178.png;;;;
4812;Lung_Opacity-1197;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Lung_Opacity;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Lung_Opacity\Lung_Opacity-1197.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\Lung_Opacity-1197.png;;;;
4838;Lung_Opacity-1223;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Lung_Opacity;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Lung_Opacity\Lung_Opacity-1223.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\Lung_Opacity-1223.png;;;;
4872;Lung_Opacity-1257;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Lung_Opacity;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Lung_Opacity\Lung_Opacity-1257.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\Lung_Opacity-1257.png;;;;
5067;Lung_Opacity-1452;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Lung_Opacity;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Lung_Opacity\Lung_Opacity-1452.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\Lung_Opacity-1452.png;;;;
5075;Lung_Opacity-1460;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Lung_Opacity;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Lung_Opacity\Lung_Opacity-1460.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\Lung_Opacity-1460.png;;;;
5082;Lung_Opacity-1467;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Lung_Opacity;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Lung_Opacity\Lung_Opacity-1467.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\Lung_Opacity-1467.png;;;;
5144;Lung_Opacity-1529;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Lung_Opacity;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Lung_Opacity\Lung_Opacity-1529.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\Lung_Opacity-1529.png;;;;
5190;Lung_Opacity-1575;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Lung_Opacity;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Lung_Opacity\Lung_Opacity-1575.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\Lung_Opacity-1575.png;;;;
5193;Lung_Opacity-1578;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Lung_Opacity;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Lung_Opacity\Lung_Opacity-1578.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\Lung_Opacity-1578.png;;;;
5199;Lung_Opacity-1584;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Lung_Opacity;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Lung_Opacity\Lung_Opacity-1584.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\Lung_Opacity-1584.png;;;;
5232;Lung_Opacity-1617;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Lung_Opacity;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Lung_Opacity\Lung_Opacity-1617.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\Lung_Opacity-1617.png;;;;
5235;Lung_Opacity-1620;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Lung_Opacity;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Lung_Opacity\Lung_Opacity-1620.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\Lung_Opacity-1620.png;;;;
5333;Lung_Opacity-1718;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Lung_Opacity;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Lung_Opacity\Lung_Opacity-1718.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\Lung_Opacity-1718.png;;;;
5348;Lung_Opacity-1733;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Lung_Opacity;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Lung_Opacity\Lung_Opacity-1733.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\Lung_Opacity-1733.png;;;;
5353;Lung_Opacity-1738;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Lung_Opacity;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Lung_Opacity\Lung_Opacity-1738.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\Lung_Opacity-1738.png;;;;
5423;Lung_Opacity-1808;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Lung_Opacity;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Lung_Opacity\Lung_Opacity-1808.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\Lung_Opacity-1808.png;;;;
5425;Lung_Opacity-1810;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Lung_Opacity;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Lung_Opacity\Lung_Opacity-1810.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\Lung_Opacity-1810.png;;;;
5472;Lung_Opacity-1857;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Lung_Opacity;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Lung_Opacity\Lung_Opacity-1857.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\Lung_Opacity-1857.png;;;;
5498;Lung_Opacity-1883;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Lung_Opacity;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Lung_Opacity\Lung_Opacity-1883.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\Lung_Opacity-1883.png;;;;
5507;Lung_Opacity-1892;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Lung_Opacity;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Lung_Opacity\Lung_Opacity-1892.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\Lung_Opacity-1892.png;;;;
5528;Lung_Opacity-1913;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Lung_Opacity;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Lung_Opacity\Lung_Opacity-1913.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\Lung_Opacity-1913.png;;;;
